Learner ID,Bubble sort,Quick sort,Selection Sort,Merge sort,Insertion sort
Learner1,"['commentary', 'self-assesment', 'videos']","['self-assesment', 'real life application', 'videos']","['quiz', 'exmaple', 'real life application']","['self-assesment', 'commentary', 'additional reading material']","['real life application', 'additional reading material', 'videos']"
Learner2,"['additional reading material', 'videos', 'commentary']","['commentary', 'exmaple', 'self-assesment']","['real life application', 'additional reading material', 'commentary']","['videos', 'quiz', 'exmaple']","['self-assesment', 'videos', 'additional reading material']"
Learner3,"['real life application', 'quiz', 'self-assesment']","['quiz', 'exmaple', 'real life application']","['commentary', 'exmaple', 'quiz']","['videos', 'additional reading material', 'exmaple']","['additional reading material', 'commentary', 'real life application']"
Learner4,"['quiz', 'commentary', 'exmaple']","['real life application', 'exmaple', 'self-assesment']","['commentary', 'additional reading material', 'self-assesment']","['self-assesment', 'quiz', 'real life application']","['quiz', 'exmaple', 'additional reading material']"
Learner5,"['commentary', 'videos', 'additional reading material']","['real life application', 'quiz', 'commentary']","['real life application', 'videos', 'commentary']","['self-assesment', 'exmaple', 'videos']","['exmaple', 'real life application', 'videos']"
Learner6,"['exmaple', 'additional reading material', 'quiz']","['videos', 'additional reading material', 'quiz']","['exmaple', 'real life application', 'commentary']","['commentary', 'additional reading material', 'quiz']","['real life application', 'additional reading material', 'quiz']"
Learner7,"['self-assesment', 'real life application', 'additional reading material']","['real life application', 'exmaple', 'additional reading material']","['real life application', 'quiz', 'commentary']","['self-assesment', 'videos', 'additional reading material']","['real life application', 'self-assesment', 'commentary']"
Learner8,"['exmaple', 'commentary', 'quiz']","['self-assesment', 'additional reading material', 'quiz']","['additional reading material', 'videos', 'exmaple']","['exmaple', 'quiz', 'real life application']","['self-assesment', 'videos', 'commentary']"
Learner9,"['quiz', 'real life application', 'exmaple']","['commentary', 'exmaple', 'videos']","['videos', 'quiz', 'commentary']","['self-assesment', 'videos', 'commentary']","['quiz', 'commentary', 'videos']"
Learner10,"['exmaple', 'self-assesment', 'videos']","['additional reading material', 'exmaple', 'self-assesment']","['self-assesment', 'additional reading material', 'videos']","['videos', 'exmaple', 'real life application']","['videos', 'additional reading material', 'self-assesment']"
Learner11,"['videos', 'quiz', 'real life application']","['quiz', 'additional reading material', 'videos']","['videos', 'additional reading material', 'quiz']","['commentary', 'self-assesment', 'quiz']","['commentary', 'videos', 'exmaple']"
Learner12,"['self-assesment', 'commentary', 'quiz']","['videos', 'exmaple', 'quiz']","['self-assesment', 'commentary', 'exmaple']","['additional reading material', 'videos', 'real life application']","['additional reading material', 'real life application', 'self-assesment']"
Learner13,"['commentary', 'quiz', 'videos']","['additional reading material', 'self-assesment', 'quiz']","['self-assesment', 'real life application', 'videos']","['additional reading material', 'self-assesment', 'commentary']","['commentary', 'self-assesment', 'quiz']"
Learner14,"['exmaple', 'videos', 'self-assesment']","['self-assesment', 'videos', 'commentary']","['videos', 'quiz', 'real life application']","['real life application', 'quiz', 'additional reading material']","['commentary', 'additional reading material', 'quiz']"
Learner15,"['commentary', 'exmaple', 'quiz']","['commentary', 'self-assesment', 'exmaple']","['videos', 'additional reading material', 'quiz']","['real life application', 'commentary', 'self-assesment']","['self-assesment', 'real life application', 'videos']"
Learner16,"['self-assesment', 'commentary', 'videos']","['commentary', 'additional reading material', 'videos']","['self-assesment', 'commentary', 'videos']","['videos', 'additional reading material', 'quiz']","['quiz', 'commentary', 'real life application']"
Learner17,"['additional reading material', 'exmaple', 'videos']","['real life application', 'quiz', 'self-assesment']","['videos', 'exmaple', 'commentary']","['commentary', 'real life application', 'quiz']","['exmaple', 'real life application', 'videos']"
Learner18,"['additional reading material', 'exmaple', 'commentary']","['quiz', 'commentary', 'exmaple']","['self-assesment', 'exmaple', 'videos']","['self-assesment', 'additional reading material', 'exmaple']","['self-assesment', 'quiz', 'additional reading material']"
Learner19,"['commentary', 'real life application', 'videos']","['real life application', 'additional reading material', 'self-assesment']","['videos', 'quiz', 'self-assesment']","['commentary', 'quiz', 'additional reading material']","['quiz', 'real life application', 'additional reading material']"
Learner20,"['exmaple', 'self-assesment', 'videos']","['self-assesment', 'commentary', 'quiz']","['real life application', 'videos', 'commentary']","['self-assesment', 'exmaple', 'real life application']","['self-assesment', 'videos', 'commentary']"
Learner21,"['exmaple', 'real life application', 'videos']","['self-assesment', 'videos', 'commentary']","['self-assesment', 'additional reading material', 'quiz']","['additional reading material', 'videos', 'exmaple']","['videos', 'quiz', 'real life application']"
Learner22,"['commentary', 'exmaple', 'videos']","['videos', 'additional reading material', 'self-assesment']","['self-assesment', 'exmaple', 'videos']","['commentary', 'quiz', 'additional reading material']","['commentary', 'self-assesment', 'videos']"
Learner23,"['real life application', 'videos', 'quiz']","['videos', 'self-assesment', 'real life application']","['videos', 'real life application', 'additional reading material']","['commentary', 'videos', 'exmaple']","['additional reading material', 'videos', 'commentary']"
Learner24,"['commentary', 'quiz', 'additional reading material']","['additional reading material', 'commentary', 'self-assesment']","['videos', 'additional reading material', 'self-assesment']","['additional reading material', 'real life application', 'commentary']","['self-assesment', 'commentary', 'quiz']"
